name,phone,type,character,loan_his,bank,amount,term,address,lat,lon,notes,time_visit,image_path,timestamp
Customer 22,0100021,Repair Services,Quiet and Reserved,Once,None,2153.68,6M,"Street 387, Phnom Penh",11.572737096805469,104.93245679965256,Need follow-up,12:00 AM,,2025-05-27 01:23:51
Customer 23,0100022,Tourism/Hospitality,Talkative and Engaging,Once,ACLEDA,4066.79,12M,"Street 386, Phnom Penh",11.581865871950825,104.92051970362279,Need follow-up,1:00 AM,,2025-06-03 01:23:51
Customer 24,0100023,Repair Services,Quiet and Reserved,Many times,ACLEDA,7708.5,18M,"Street 10, Phnom Penh",11.593963854193913,104.85753016398115,Interested,8:00 AM,,2025-06-01 01:23:51
Customer 25,0100024,Electronics & Appliances,Hard to Understand,Once,Cambodia Post Bank,1601.63,6M,"Street 368, Phnom Penh",11.54626244670108,104.92294614903574,Interested,9:00 AM,,2025-05-30 01:23:51
Customer 26,0100025,Electronics & Appliances,Hard to Understand,Many times,ABA,4028.48,6M,"Street 323, Phnom Penh",11.544659422612877,104.93402991641376,Interested,4:00 AM,2025-06-23 01.02.46.jpg,2025-06-20 01:23:51
Customer 27,0100026,Electronics & Appliances,Aggressive or Pushy,Once,None,1112.69,6M,"Street 361, Phnom Penh",11.591226666492549,104.90012726850794,No answer,7:00 AM,2025-06-23 01.02.39.jpg,2025-06-10 01:23:51
Customer 28,0100027,Repair Services,Skeptical or Distrustful,Many times,ACLEDA,8046.11,12M,"Street 270, Phnom Penh",11.52724789514289,104.87068166698889,No answer,1:00 AM,,2025-06-06 01:23:51
Customer 29,0100028,Repair Services,Talkative and Engaging,Never,Cambodia Post Bank,7275.48,24M,"Street 355, Phnom Penh",11.581204930552932,104.85446819847508,No answer,8:00 AM,,2025-05-31 01:23:51
Customer 30,0100029,Agriculture/Farming,Busy or in a Hurry,Many times,ABA,7335.68,12M,"Street 157, Phnom Penh",11.585529305694482,104.8625204182425,No answer,11:00 AM,,2025-05-29 01:23:51
Customer 31,0100030,Agriculture/Farming,Talkative and Engaging,Never,None,3732.62,18M,"Street 453, Phnom Penh",11.555894311297779,104.8645744639887,Need follow-up,1:00 AM,20250615_213943.jpeg,2025-06-23 01:23:51
Customer 32,0100031,Restaurant/Café,Friendly and Open,Once,ABA,4892.02,6M,"Street 156, Phnom Penh",11.582521924281345,104.90544027358132,Need follow-up,6:00 AM,,2025-05-29 01:23:51
Customer 33,0100032,Beauty Salon,Quiet and Reserved,Many times,ABA,4678.87,24M,"Street 482, Phnom Penh",11.530085640630881,104.90289981197667,No answer,8:00 AM,,2025-06-11 01:23:51
Customer 34,0100033,Electronics & Appliances,Very Welcoming,Many times,Cambodia Post Bank,6325.55,18M,"Street 272, Phnom Penh",11.52348796001487,104.93559216928169,Repeat visit,10:00 AM,2025-06-23 01.01.50.jpg,2025-06-01 01:23:51
Customer 35,0100034,Repair Services,Skeptical or Distrustful,Once,ACLEDA,8714.08,24M,"Street 374, Phnom Penh",11.539442564177525,104.87468783560807,Need follow-up,4:00 AM,2025-06-23 01.02.19.jpg,2025-06-10 01:23:51
Customer 36,0100035,Beauty Salon,Talkative and Engaging,Many times,ACLEDA,981.79,6M,"Street 427, Phnom Penh",11.564354490365735,104.88867989558857,Repeat visit,2:00 AM,,2025-06-08 01:23:51
Customer 37,0100036,Tourism/Hospitality,Aggressive or Pushy,Many times,Cambodia Post Bank,4762.13,24M,"Street 221, Phnom Penh",11.530505687448727,104.87965397262766,No answer,10:00 AM,,2025-06-11 01:23:51
Customer 38,0100037,General Retail,Quiet and Reserved,Many times,Wing,4242.65,18M,"Street 252, Phnom Penh",11.573559765145234,104.93736167475423,Interested,4:00 AM,,2025-06-14 01:23:51
Customer 39,0100038,Fashion & Clothing,Skeptical or Distrustful,Never,ABA,4360.25,12M,"Street 179, Phnom Penh",11.522043972687868,104.91054016146573,No answer,3:00 AM,,2025-05-28 01:23:51
Customer 40,0100039,General Retail,Interested but Cautious,Once,None,5872.33,24M,"Street 195, Phnom Penh",11.598999731612937,104.94438671295417,Repeat visit,8:00 AM,,2025-06-05 01:23:51
Customer 41,0100040,Tourism/Hospitality,Talkative and Engaging,Once,None,5637.93,6M,"Street 135, Phnom Penh",11.586024134686314,104.89714399783992,Interested,4:00 AM,20250615_213943.jpeg,2025-06-06 01:23:51
Customer 42,0100041,Street Food Stall,Interested but Cautious,Once,Wing,2914.83,24M,"Street 419, Phnom Penh",11.58511542818264,104.91903985460861,Interested,9:00 AM,,2025-06-06 01:23:51
Customer 43,0100042,Fashion & Clothing,Quiet and Reserved,Never,ACLEDA,5686.55,6M,"Street 178, Phnom Penh",11.534866498087396,104.94703722105827,Interested,8:00 AM,,2025-06-05 01:23:51
Customer 44,0100043,Electronics & Appliances,Busy or in a Hurry,Many times,Cambodia Post Bank,8321.36,18M,"Street 417, Phnom Penh",11.531170540940815,104.87698811111802,Repeat visit,8:00 AM,,2025-06-20 01:23:51
Customer 45,0100044,General Retail,Very Welcoming,Many times,ABA,5167.26,6M,"Street 202, Phnom Penh",11.545164651223157,104.92385490462951,Interested,9:00 AM,,2025-06-08 01:23:51
Customer 46,0100045,General Retail,Quiet and Reserved,Many times,None,1341.27,6M,"Street 214, Phnom Penh",11.56979745200814,104.88710240968362,Interested,6:00 AM,,2025-06-14 01:23:51
Customer 47,0100046,Repair Services,Aggressive or Pushy,Many times,ACLEDA,8769.47,6M,"Street 196, Phnom Penh",11.570647666392931,104.9279171505643,No answer,8:00 AM,,2025-06-01 01:23:51
Customer 48,0100047,Repair Services,Talkative and Engaging,Never,ACLEDA,9519.45,12M,"Street 312, Phnom Penh",11.551821243616113,104.93319114593716,Interested,4:00 AM,20250615_213943.jpeg,2025-06-02 01:23:51
Customer 49,0100048,Tourism/Hospitality,Interested but Cautious,Once,Cambodia Post Bank,7616.96,12M,"Street 141, Phnom Penh",11.54429765090729,104.94914856549329,No answer,4:00 AM,2025-06-23 01.05.23.jpg,2025-06-03 01:23:51
Customer 50,0100049,Repair Services,Aggressive or Pushy,Never,ACLEDA,6902.9,24M,"Street 308, Phnom Penh",11.585613305605326,104.88255402740826,Need follow-up,10:00 AM,,2025-06-19 01:23:51
Customer 51,0100050,General Retail,Busy or in a Hurry,Many times,ACLEDA,9937.72,24M,"Street 360, Phnom Penh",11.573152549957435,104.88844134874793,Repeat visit,4:00 AM,,2025-06-19 01:23:51
Customer 52,0100051,Fashion & Clothing,Quiet and Reserved,Once,None,3915.94,24M,"Street 211, Phnom Penh",11.57119854283282,104.89600150991058,Interested,6:00 AM,2025-06-23 01.03.23.jpg,2025-05-24 01:23:51
Customer 53,0100052,Fashion & Clothing,Talkative and Engaging,Never,ACLEDA,5746.55,6M,"Street 446, Phnom Penh",11.599663968751548,104.90320845420489,Interested,5:00 AM,,2025-06-09 01:23:51
Customer 54,0100053,Street Food Stall,Very Welcoming,Many times,Wing,9962.05,6M,"Street 458, Phnom Penh",11.570120056556945,104.87950014420913,Need follow-up,6:00 AM,2025-06-23 01.02.39.jpg,2025-06-14 01:23:51
Customer 55,0100054,Agriculture/Farming,Friendly and Open,Many times,Wing,1067.1,18M,"Street 156, Phnom Penh",11.553192470736022,104.88747615174356,No answer,9:00 AM,2025-06-23 01.02.50.jpg,2025-05-26 01:23:51
Customer 56,0100055,Tourism/Hospitality,Aggressive or Pushy,Never,Wing,1149.56,24M,"Street 463, Phnom Penh",11.539272457789078,104.86481275969987,No answer,9:00 AM,,2025-06-08 01:23:51
Customer 57,0100056,Tourism/Hospitality,Quiet and Reserved,Once,Wing,1287.03,6M,"Street 373, Phnom Penh",11.522913509090607,104.88301801286367,Repeat visit,4:00 AM,,2025-06-22 01:23:51
Customer 58,0100057,General Retail,Aggressive or Pushy,Once,None,3079.69,24M,"Street 377, Phnom Penh",11.520099784592222,104.88752254965182,No answer,3:00 AM,,2025-06-03 01:23:51
Customer 59,0100058,General Retail,Aggressive or Pushy,Once,ACLEDA,9247.98,18M,"Street 334, Phnom Penh",11.5880348045061,104.92663664967426,Need follow-up,9:00 AM,,2025-05-25 01:23:51
Customer 60,0100059,Electronics & Appliances,Very Welcoming,Many times,ABA,5532.4,18M,"Street 60, Phnom Penh",11.576802578242827,104.89043749223626,Repeat visit,11:00 AM,2025-06-23 01.03.10.jpg,2025-05-30 01:23:51
Customer 61,0100060,Agriculture/Farming,Busy or in a Hurry,Many times,None,1698.27,18M,"Street 216, Phnom Penh",11.59356755113076,104.92785376906103,Need follow-up,11:00 AM,2025-06-23 01.05.23.jpg,2025-06-02 01:23:51
Customer 62,0100061,Beauty Salon,Skeptical or Distrustful,Once,Cambodia Post Bank,2015.23,12M,"Street 448, Phnom Penh",11.548151410405655,104.92466988305954,Repeat visit,1:00 AM,,2025-06-21 01:23:51
Customer 63,0100062,Electronics & Appliances,Talkative and Engaging,Once,Wing,8014.9,12M,"Street 446, Phnom Penh",11.589114310133253,104.90776550922718,No answer,1:00 AM,,2025-06-06 01:23:51
Customer 64,0100063,Tourism/Hospitality,Busy or in a Hurry,Many times,Cambodia Post Bank,9300.33,24M,"Street 297, Phnom Penh",11.575278046621223,104.8756659055722,No answer,7:00 AM,,2025-06-20 01:23:51
Customer 65,0100064,Tourism/Hospitality,Uninterested,Once,ABA,4546.5,6M,"Street 495, Phnom Penh",11.569728436164752,104.9032720477305,Repeat visit,7:00 AM,,2025-05-29 01:23:51
Customer 66,0100065,Street Food Stall,Aggressive or Pushy,Once,Cambodia Post Bank,5461.36,6M,"Street 198, Phnom Penh",11.565890522249319,104.9411932889934,Repeat visit,3:00 AM,20250615_213943.jpeg,2025-06-02 01:23:51
Customer 67,0100066,Tourism/Hospitality,Talkative and Engaging,Never,ABA,627.72,18M,"Street 150, Phnom Penh",11.567127058334309,104.937177360023,Repeat visit,10:00 AM,,2025-06-13 01:23:51
Customer 68,0100067,Fashion & Clothing,Quiet and Reserved,Many times,None,9310.36,24M,"Street 139, Phnom Penh",11.574035720483195,104.890496304457,Interested,5:00 AM,2025-06-23 01.04.08.jpg,2025-06-07 01:23:51
Customer 69,0100068,Restaurant/Café,Busy or in a Hurry,Many times,Cambodia Post Bank,6685.2,18M,"Street 187, Phnom Penh",11.53625440836606,104.89653899870473,No answer,8:00 AM,2025-06-23 01.04.08.jpg,2025-06-01 01:23:51
Customer 70,0100069,Restaurant/Café,Talkative and Engaging,Many times,Wing,3899.21,24M,"Street 463, Phnom Penh",11.5787016957393,104.87457093455654,No answer,1:00 AM,,2025-06-07 01:23:51
Customer 71,0100070,Street Food Stall,Friendly and Open,Many times,ABA,1600.63,18M,"Street 32, Phnom Penh",11.547000188974335,104.89501069375446,Repeat visit,9:00 AM,,2025-06-16 01:23:51
Customer 72,0100071,Tourism/Hospitality,Very Welcoming,Once,ACLEDA,6625.13,6M,"Street 445, Phnom Penh",11.580761641336927,104.93496793036483,No answer,7:00 AM,,2025-05-29 01:23:51
Customer 73,0100072,Agriculture/Farming,Busy or in a Hurry,Never,Cambodia Post Bank,2477.98,6M,"Street 190, Phnom Penh",11.566612433703565,104.88827146838986,Repeat visit,3:00 AM,,2025-06-09 01:23:51
Customer 74,0100073,Agriculture/Farming,Skeptical or Distrustful,Many times,ABA,9785.71,24M,"Street 159, Phnom Penh",11.532404302636413,104.91598623474245,Interested,11:00 AM,,2025-06-17 01:23:51
Customer 75,0100074,Agriculture/Farming,Uninterested,Once,ACLEDA,9098.62,18M,"Street 188, Phnom Penh",11.545501650850705,104.85558868220657,Need follow-up,11:00 AM,,2025-06-15 01:23:51
Customer 76,0100075,Beauty Salon,Hard to Understand,Once,ABA,2219.89,18M,"Street 246, Phnom Penh",11.527343635162701,104.91537828269182,Repeat visit,4:00 AM,,2025-06-03 01:23:51
Customer 77,0100076,Fashion & Clothing,Quiet and Reserved,Many times,Cambodia Post Bank,8123.38,24M,"Street 289, Phnom Penh",11.587955886689173,104.85355434586558,Interested,6:00 AM,,2025-05-26 01:23:51
Customer 78,0100077,Electronics & Appliances,Aggressive or Pushy,Many times,Cambodia Post Bank,2698.02,24M,"Street 225, Phnom Penh",11.581071445657946,104.91825981117779,Need follow-up,12:00 AM,,2025-06-02 01:23:51
Customer 79,0100078,Agriculture/Farming,Very Welcoming,Never,Wing,1445.2,12M,"Street 61, Phnom Penh",11.5615462604253,104.93585164666555,Interested,9:00 AM,,2025-06-22 01:23:51
Customer 80,0100079,Tourism/Hospitality,Quiet and Reserved,Never,ABA,7834.97,24M,"Street 444, Phnom Penh",11.597554299734037,104.87013546304418,Repeat visit,3:00 AM,2025-06-23 01.02.39.jpg,2025-06-09 01:23:51
Customer 81,0100080,General Retail,Skeptical or Distrustful,Many times,None,9064.32,6M,"Street 248, Phnom Penh",11.599340877080785,104.89778148302436,Need follow-up,2:00 AM,,2025-06-20 01:23:51
Customer 82,0100081,Fashion & Clothing,Uninterested,Many times,Cambodia Post Bank,7196.52,18M,"Street 466, Phnom Penh",11.53553427645661,104.88778305051787,Need follow-up,2:00 AM,,2025-06-23 01:23:51
Customer 83,0100082,Street Food Stall,Skeptical or Distrustful,Never,ABA,2998.53,6M,"Street 215, Phnom Penh",11.572231739858454,104.89015578372839,Need follow-up,12:00 AM,,2025-06-07 01:23:51
Customer 84,0100083,Electronics & Appliances,Busy or in a Hurry,Once,None,4506.53,6M,"Street 85, Phnom Penh",11.542057790619518,104.90217250973369,Repeat visit,2:00 AM,,2025-05-31 01:23:51
Customer 85,0100084,Beauty Salon,Friendly and Open,Many times,ABA,7116.47,6M,"Street 500, Phnom Penh",11.583369590967184,104.88249126150247,Interested,10:00 AM,,2025-06-15 01:23:51
Customer 86,0100085,Electronics & Appliances,Interested but Cautious,Once,ACLEDA,8701.34,24M,"Street 358, Phnom Penh",11.54521070981174,104.85298737175538,Repeat visit,1:00 AM,,2025-06-23 01:23:51
Customer 87,0100086,Fashion & Clothing,Skeptical or Distrustful,Many times,ABA,779.88,18M,"Street 97, Phnom Penh",11.577379944453135,104.91101495092254,Need follow-up,2:00 AM,,2025-05-30 01:23:51
Customer 88,0100087,Tourism/Hospitality,Hard to Understand,Many times,Cambodia Post Bank,8544.31,6M,"Street 17, Phnom Penh",11.592068260087286,104.92247614835154,Need follow-up,1:00 AM,,2025-06-22 01:23:51
Customer 89,0100088,Restaurant/Café,Aggressive or Pushy,Never,ABA,8510.71,18M,"Street 339, Phnom Penh",11.547583941813022,104.91674524896436,No answer,3:00 AM,,2025-05-29 01:23:51
Customer 90,0100089,Fashion & Clothing,Aggressive or Pushy,Never,Cambodia Post Bank,5458.55,24M,"Street 44, Phnom Penh",11.580390015400354,104.91616361366077,Interested,2:00 AM,,2025-06-08 01:23:51
Customer 91,0100090,Repair Services,Aggressive or Pushy,Many times,None,5446.26,6M,"Street 460, Phnom Penh",11.573023449886563,104.86700217039815,Repeat visit,1:00 AM,,2025-05-30 01:23:51
Customer 92,0100091,Tourism/Hospitality,Skeptical or Distrustful,Many times,ABA,1434.06,24M,"Street 91, Phnom Penh",11.578529613240132,104.91913248170717,No answer,6:00 AM,,2025-05-30 01:23:51
Customer 93,0100092,Tourism/Hospitality,Skeptical or Distrustful,Many times,ABA,7005.32,6M,"Street 389, Phnom Penh",11.534216159965071,104.87530179539844,Interested,8:00 AM,,2025-06-03 01:23:51
Customer 94,0100093,Electronics & Appliances,Aggressive or Pushy,Once,None,4413.11,12M,"Street 499, Phnom Penh",11.58396505503146,104.93432451166721,No answer,5:00 AM,,2025-06-14 01:23:51
Customer 95,0100094,Street Food Stall,Quiet and Reserved,Many times,Wing,6562.37,24M,"Street 131, Phnom Penh",11.54278090559479,104.9478683662909,Interested,10:00 AM,,2025-06-23 01:23:51
Customer 96,0100095,Repair Services,Very Welcoming,Many times,Wing,3030.17,18M,"Street 44, Phnom Penh",11.527048532063505,104.85109318162712,No answer,3:00 AM,2025-06-23 01.02.46.jpg,2025-06-08 01:23:51
Customer 97,0100096,General Retail,Very Welcoming,Never,ACLEDA,8811.42,6M,"Street 123, Phnom Penh",11.557783220351451,104.93835722641472,Interested,3:00 AM,,2025-06-04 01:23:51
Customer 98,0100097,Electronics & Appliances,Interested but Cautious,Many times,ACLEDA,1952.98,12M,"Street 346, Phnom Penh",11.56631743894556,104.94736322759316,No answer,9:00 AM,,2025-06-13 01:23:51
Customer 99,0100098,Electronics & Appliances,Hard to Understand,Many times,Wing,1999.31,24M,"Street 181, Phnom Penh",11.546982154931603,104.86213278533337,Repeat visit,6:00 AM,,2025-06-18 01:23:51
Customer 100,0100099,Tourism/Hospitality,Talkative and Engaging,Never,None,4793.6,12M,"Street 222, Phnom Penh",11.584763310282058,104.86062512255496,Interested,5:00 AM,,2025-05-31 01:23:51
Customer 101,0100100,Street Food Stall,Interested but Cautious,Many times,None,7025.38,6M,"Street 301, Phnom Penh",11.541818493891014,104.94700608355966,No answer,2:00 AM,,2025-06-12 01:23:51
Customer 102,0100101,Restaurant/Café,Skeptical or Distrustful,Never,None,9050.81,18M,"Street 52, Phnom Penh",11.553430898393813,104.86300626757738,Repeat visit,7:00 AM,,2025-05-30 01:23:51
Customer 103,0100102,Fashion & Clothing,Talkative and Engaging,Once,ABA,8648.3,24M,"Street 25, Phnom Penh",11.528373559394524,104.9284639307276,Repeat visit,11:00 AM,,2025-05-30 01:23:51
Customer 104,0100103,Street Food Stall,Skeptical or Distrustful,Once,ABA,9601.18,6M,"Street 455, Phnom Penh",11.546668649853206,104.90269254935394,Repeat visit,6:00 AM,,2025-06-21 01:23:51
Customer 105,0100104,Restaurant/Café,Busy or in a Hurry,Never,ABA,7646.36,12M,"Street 198, Phnom Penh",11.596177631127397,104.93631879234322,Repeat visit,8:00 AM,2025-06-23 01.04.26.jpg,2025-06-23 01:23:51
Customer 106,0100105,Street Food Stall,Talkative and Engaging,Never,Cambodia Post Bank,2226.55,18M,"Street 143, Phnom Penh",11.569622451342367,104.86926365491688,Need follow-up,2:00 AM,,2025-05-26 01:23:51
Customer 107,0100106,Restaurant/Café,Interested but Cautious,Many times,ACLEDA,2298.78,24M,"Street 156, Phnom Penh",11.594464323983535,104.89039211735638,No answer,12:00 AM,,2025-05-29 01:23:51
Customer 108,0100107,Electronics & Appliances,Hard to Understand,Never,Cambodia Post Bank,6317.18,24M,"Street 86, Phnom Penh",11.528347536074738,104.94511750918917,Need follow-up,7:00 AM,,2025-06-21 01:23:51
Customer 109,0100108,Beauty Salon,Skeptical or Distrustful,Never,Wing,4212.17,6M,"Street 215, Phnom Penh",11.53625236975063,104.89212284405174,Need follow-up,4:00 AM,,2025-06-11 01:23:51
Customer 110,0100109,Fashion & Clothing,Aggressive or Pushy,Once,Wing,7971.71,6M,"Street 74, Phnom Penh",11.589112811522655,104.93632239286347,No answer,2:00 AM,2025-06-23 01.02.27.jpg,2025-06-22 01:23:51
Customer 111,0100110,Repair Services,Interested but Cautious,Many times,Cambodia Post Bank,8907.27,12M,"Street 321, Phnom Penh",11.52559084434751,104.85989787078141,Interested,12:00 AM,,2025-06-18 01:23:51
Customer 112,0100111,Street Food Stall,Very Welcoming,Many times,Wing,4129.57,18M,"Street 381, Phnom Penh",11.52453182688065,104.92939960329664,Repeat visit,11:00 AM,,2025-06-11 01:23:51
Customer 113,0100112,Electronics & Appliances,Friendly and Open,Never,ABA,4844.06,24M,"Street 119, Phnom Penh",11.556270997321636,104.9418216601799,Interested,5:00 AM,,2025-06-07 01:23:51
Customer 114,0100113,General Retail,Busy or in a Hurry,Once,ACLEDA,3222.29,6M,"Street 272, Phnom Penh",11.583165940715249,104.92239852652727,No answer,6:00 AM,,2025-05-31 01:23:51
Customer 115,0100114,Agriculture/Farming,Friendly and Open,Never,None,5379.32,18M,"Street 406, Phnom Penh",11.584222564655706,104.91957901748064,Need follow-up,4:00 AM,,2025-06-13 01:23:51
Customer 116,0100115,Restaurant/Café,Aggressive or Pushy,Many times,Cambodia Post Bank,4078.48,6M,"Street 377, Phnom Penh",11.576025332464134,104.8510090206691,Need follow-up,7:00 AM,,2025-05-30 01:23:51
Customer 117,0100116,Electronics & Appliances,Interested but Cautious,Many times,ACLEDA,854.4,18M,"Street 84, Phnom Penh",11.546436356779061,104.90760914550779,Interested,2:00 AM,,2025-06-11 01:23:51
Customer 118,0100117,Electronics & Appliances,Skeptical or Distrustful,Once,Cambodia Post Bank,5635.47,6M,"Street 353, Phnom Penh",11.520619054458397,104.94454447794894,No answer,11:00 AM,,2025-06-21 01:23:51
Customer 119,0100118,Electronics & Appliances,Quiet and Reserved,Once,ABA,737.36,18M,"Street 206, Phnom Penh",11.53335419024123,104.94953586076184,Repeat visit,11:00 AM,,2025-05-29 01:23:51
Customer 120,0100119,Street Food Stall,Busy or in a Hurry,Never,ACLEDA,5730.15,12M,"Street 125, Phnom Penh",11.595406928362621,104.92669439594331,Interested,3:00 AM,,2025-06-19 01:23:51
Customer 121,0100120,Repair Services,Interested but Cautious,Many times,Wing,8396.45,24M,"Street 205, Phnom Penh",11.545355264956859,104.86833818911468,No answer,12:00 AM,,2025-06-13 01:23:51
Customer 122,0100121,Agriculture/Farming,Interested but Cautious,Once,ABA,4625.55,6M,"Street 110, Phnom Penh",11.54212959487611,104.89550142667233,Interested,5:00 AM,2025-06-23 01.02.46.jpg,2025-06-15 01:23:51
Customer 123,0100122,Electronics & Appliances,Friendly and Open,Once,None,6209.28,24M,"Street 486, Phnom Penh",11.527767056101917,104.93615761304667,Repeat visit,12:00 AM,,2025-06-02 01:23:51
Customer 124,0100123,Agriculture/Farming,Very Welcoming,Many times,Cambodia Post Bank,2200.48,12M,"Street 423, Phnom Penh",11.550242946257226,104.85428698746843,Interested,3:00 AM,,2025-05-27 01:23:51
Customer 125,0100124,General Retail,Hard to Understand,Never,Wing,2918.03,12M,"Street 341, Phnom Penh",11.595411662592852,104.94926427430856,Need follow-up,10:00 AM,,2025-06-05 01:23:51
Customer 126,0100125,Electronics & Appliances,Friendly and Open,Once,ACLEDA,9756.12,12M,"Street 284, Phnom Penh",11.586077843636968,104.87337579078125,Interested,3:00 AM,,2025-06-23 01:23:51
Customer 127,0100126,Restaurant/Café,Very Welcoming,Never,None,6535.56,6M,"Street 429, Phnom Penh",11.5727647484455,104.88986346024885,Need follow-up,8:00 AM,2025-06-23 01.02.27.jpg,2025-06-15 01:23:51
Customer 128,0100127,Tourism/Hospitality,Quiet and Reserved,Never,Cambodia Post Bank,3228.51,18M,"Street 62, Phnom Penh",11.57876103001449,104.93292380245126,Interested,7:00 AM,,2025-06-04 01:23:51
Customer 129,0100128,Repair Services,Very Welcoming,Many times,Wing,4985.04,6M,"Street 23, Phnom Penh",11.570550620458404,104.91671491969508,Interested,12:00 AM,,2025-06-01 01:23:51
Customer 130,0100129,Restaurant/Café,Interested but Cautious,Never,ACLEDA,4938.52,6M,"Street 107, Phnom Penh",11.570426628981641,104.89428038474821,Need follow-up,12:00 AM,20250615_213943.jpeg,2025-06-17 01:23:51
Customer 131,0100130,Street Food Stall,Skeptical or Distrustful,Never,Cambodia Post Bank,4455.17,18M,"Street 250, Phnom Penh",11.532556547521896,104.85782154749188,Interested,7:00 AM,,2025-06-06 01:23:51
Customer 132,0100131,Fashion & Clothing,Hard to Understand,Many times,None,7257.44,6M,"Street 85, Phnom Penh",11.565841903626286,104.9067153535874,Repeat visit,3:00 AM,2025-06-23 01.01.50.jpg,2025-05-30 01:23:51
